序号,代码,名称,最新价(元) 2026.06.09,涨跌幅(%) 2026.06.09,市盈率(TTM)(倍) 2026.06.09,证券类型,涨跌额(元) 2026.06.09,最高价(元) 2026.06.09,最低价(元) 2026.06.09,换手率(%) 2026.06.09,量比 2026.06.09,成交量(股) 2026.06.09,成交额(元) 2026.06.09,市盈率(动)(倍) 2026.06.09,市净率(倍) 2026.06.09,总市值(元) 2026.06.09,流通市值(元) 2026.06.09
1,000100,TCL科技,4.86,4.52,19.98,A股,0.210,4.90,4.63,6.37,0.72,12.18亿,58.38亿,16.24,1.6623,1010.92亿,929.81亿
2,603299,苏盐井神,9.80,-0.71,19.91,A股,-0.070,9.92,9.77,0.56,0.77,434.51万,4267.39万,21.40,1.1414,93.57亿,76.49亿
3,000617,中油资本,7.23,-0.41,19.90,A股,-0.030,7.33,7.16,0.51,0.81,6442.35万,4.65亿,14.53,0.8588,914.02亿,914.02亿
4,301500,飞南资源,24.32,2.06,19.88,A股,0.490,24.34,23.54,6.98,0.70,1004.77万,2.41亿,8.43,2.6343,136.67亿,35.03亿
5,002423,中粮资本,8.72,-0.11,19.87,A股,-0.010,8.83,8.64,0.46,0.95,1056.17万,9229.74万,18.61,0.8423,200.92亿,200.92亿
6,600621,华鑫股份,12.24,0.33,19.87,A股,0.040,12.28,12.10,0.59,0.69,625.97万,7629.73万,20.91,1.3883,129.85亿,129.85亿
7,000709,河钢股份,2.10,-5.41,19.87,A股,-0.120,2.18,2.08,1.75,1.77,1.81亿,3.83亿,16.80,0.4171,217.08亿,217.04亿
8,001312,福恩股份,19.72,0.10,19.86,A股,0.020,19.88,19.48,4.14,0.69,236.46万,4650.17万,28.32,1.9706,46.01亿,11.27亿
9,688581,安杰思,54.40,-0.38,19.86,A股,-0.210,54.88,53.80,0.81,0.74,33.86万,1831.51万,19.42,1.7152,44.13亿,22.61亿
10,301223,中荣股份,16.08,-0.31,19.81,A股,-0.050,16.38,16.05,0.52,0.67,100.48万,1626.10万,18.16,1.0495,31.05亿,31.05亿
11,000923,河钢资源,14.08,0.64,19.81,A股,0.090,14.18,13.66,2.38,0.88,1493.27万,2.07亿,101.56,0.9522,91.90亿,88.41亿
12,300434,金石亚药,9.10,0.33,19.78,A股,0.030,9.21,8.96,1.89,0.75,647.11万,5874.37万,7.88,1.3874,36.56亿,31.13亿
13,603808,歌力思,8.96,0.34,19.76,A股,0.030,9.07,8.81,1.16,0.64,420.17万,3748.65万,19.87,1.2432,32.59亿,32.59亿
14,920892,广咨国际,12.55,-1.41,19.73,A股,-0.180,12.89,12.42,0.63,0.64,94.72万,1189.92万,72.78,6.2054,21.38亿,18.93亿
15,002541,鸿路钢构,18.36,-1.34,19.73,A股,-0.250,18.73,17.90,1.20,0.60,596.28万,1.09亿,21.46,1.2854,126.69亿,91.10亿
16,001230,劲旅环境,25.40,1.60,19.71,A股,0.400,25.79,24.54,2.87,0.88,225.49万,5671.71万,20.11,1.6870,34.07亿,19.95亿
17,600132,重庆啤酒,48.70,-2.78,19.71,A股,-1.390,50.21,48.51,1.08,1.14,525.06万,2.58亿,13.46,12.8900,235.69亿,235.69亿
18,000650,仁和药业,5.19,-0.38,19.68,A股,-0.020,5.23,5.18,0.61,0.74,817.17万,4244.78万,12.94,1.1254,72.66亿,69.10亿
19,601198,东兴证券,12.63,1.36,19.67,A股,0.170,13.09,12.52,0.87,1.34,2798.01万,3.57亿,28.90,1.3259,408.26亿,408.26亿
20,605337,李子园,9.25,-0.22,19.65,A股,-0.020,9.35,9.12,0.54,0.66,211.33万,1954.28万,16.86,2.1601,36.08亿,36.08亿
21,603797,联泰环保,4.19,0.00,19.64,A股,0.000,4.28,4.13,0.74,0.69,423.94万,1772.55万,12.52,0.7210,24.16亿,24.16亿
22,000507,珠海港,4.93,0.00,19.62,A股,0.000,4.95,4.87,0.83,0.39,748.69万,3672.54万,16.62,0.7585,45.34亿,44.49亿
23,300881,盛德鑫泰,43.15,-2.15,19.57,A股,-0.950,44.79,42.65,3.98,0.87,228.34万,9869.37万,27.04,3.8343,47.47亿,24.77亿
24,003000,劲仔食品,10.69,-1.20,19.56,A股,-0.130,10.81,10.48,1.76,0.92,542.89万,5769.42万,16.91,3.5982,48.20亿,32.93亿
25,920242,建邦科技,24.80,1.31,19.54,A股,0.320,24.95,24.38,1.08,1.12,40.69万,1005.91万,23.33,2.3814,16.53亿,9.34亿
26,301303,真兰仪表,15.59,-8.72,19.54,A股,-1.490,17.25,15.45,19.57,1.29,1999.81万,3.21亿,29.58,1.8832,63.73亿,15.93亿
27,300389,艾比森,13.48,1.66,19.53,A股,0.220,13.54,13.15,2.29,0.86,503.21万,6744.44万,31.67,2.9616,49.75亿,29.58亿
28,002223,鱼跃医疗,25.03,-1.07,19.52,A股,-0.270,25.42,24.82,1.04,1.12,982.11万,2.46亿,14.65,1.9230,250.92亿,235.86亿
29,300349,金卡智能,11.76,0.34,19.48,A股,0.040,11.86,11.40,2.56,0.80,944.77万,1.10亿,41.28,1.1091,49.06亿,43.48亿
30,600469,风神股份,5.65,0.00,19.47,A股,0.000,5.72,5.57,0.61,0.85,446.67万,2517.62万,24.70,1.0973,50.29亿,41.21亿
31,603969,银龙股份,8.06,3.73,19.42,A股,0.290,8.11,7.77,1.37,0.74,1162.82万,9231.97万,26.76,2.4809,70.25亿,68.48亿
32,600681,百川能源,3.55,-1.39,19.42,A股,-0.050,3.63,3.52,1.02,0.82,1367.90万,4857.10万,10.60,1.3223,47.60亿,47.56亿
33,603345,安井食品,89.01,1.03,19.42,A股,0.910,90.00,87.02,1.54,0.55,450.45万,4.00亿,13.17,1.8478,296.66亿,261.06亿
34,603235,天新药业,23.03,-0.39,19.39,A股,-0.090,23.26,22.81,0.07,0.74,29.26万,674.82万,17.15,1.9911,100.82亿,100.82亿
35,300795,米奥会展,9.65,1.15,19.38,A股,0.110,9.74,9.36,2.88,0.66,500.42万,4794.34万,-29.21,5.0779,28.84亿,16.79亿
36,688128,中国电研,25.97,1.56,19.38,A股,0.400,26.47,25.56,1.26,0.74,508.75万,1.32亿,19.61,2.9135,105.05亿,105.05亿
37,920121,江天科技,33.30,0.00,19.35,A股,0.000,33.66,32.96,1.78,0.82,21.21万,706.12万,18.40,2.8278,22.00亿,3.96亿
38,002452,长高电气,11.40,2.33,19.33,A股,0.260,11.52,11.16,3.72,0.80,1927.70万,2.19亿,31.22,2.6018,70.72亿,59.04亿
39,920656,海昇药业,14.71,1.03,19.28,A股,0.150,14.80,14.30,2.02,1.41,65.29万,955.00万,18.30,2.1513,14.71亿,4.76亿
40,920000,安徽凤凰,14.10,-1.47,19.28,A股,-0.210,14.47,14.04,1.32,0.99,76.18万,1080.31万,24.86,1.9368,12.93亿,8.12亿
41,002768,国恩股份,63.16,2.77,19.28,A股,1.700,63.81,59.50,3.05,1.18,539.92万,3.35亿,18.54,2.7590,190.27亿,111.63亿
42,300132,青松股份,6.46,2.70,19.26,A股,0.170,6.51,6.33,2.15,0.52,1090.33万,7012.48万,38.05,2.2652,33.37亿,32.82亿
43,002404,嘉欣丝绸,6.38,-5.90,19.26,A股,-0.400,6.85,6.25,9.68,0.92,4411.35万,2.85亿,16.27,1.8769,35.73亿,29.06亿
44,600089,特变电工,23.51,-1.80,19.26,A股,-0.430,24.13,22.96,3.12,1.19,1.58亿,36.73亿,16.37,1.6509,1187.91亿,1187.91亿
45,002832,比音勒芬,20.40,0.74,19.23,A股,0.150,20.77,20.00,3.95,1.28,1537.20万,3.14亿,7.54,2.1847,116.42亿,79.44亿
46,002500,山西证券,4.98,1.22,19.22,A股,0.060,4.99,4.90,0.51,0.75,1835.64万,9086.90万,17.52,0.9534,178.77亿,178.77亿
47,300511,雪榕生物,5.87,0.00,19.22,A股,0.000,5.96,5.75,2.64,0.82,1439.70万,8398.82万,5.43,2.1086,37.62亿,32.05亿
48,001233,海安集团,48.58,1.87,19.21,A股,0.890,48.99,47.73,3.26,0.75,122.86万,5934.77万,42.51,1.9153,90.35亿,18.32亿
49,603596,伯特利,27.96,-3.85,19.19,A股,-1.120,29.38,27.63,3.09,1.24,2776.99万,7.80亿,23.36,3.2051,250.98亿,250.98亿
50,001325,元创股份,38.70,-0.13,19.19,A股,-0.050,39.16,38.41,4.37,0.63,85.67万,3316.07万,29.66,1.6622,30.34亿,7.59亿
51,920017,星昊医药,16.85,0.90,19.16,A股,0.150,16.89,16.39,0.84,0.93,103.90万,1734.87万,16.54,1.3057,21.03亿,20.81亿
52,002322,理工能科,10.75,0.94,19.13,A股,0.100,10.77,10.59,0.57,0.66,200.95万,2150.73万,42.48,1.4424,39.29亿,37.78亿
53,000928,中钢国际,5.84,1.04,19.12,A股,0.060,5.90,5.78,0.87,0.94,1241.92万,7261.82万,11.35,1.0101,83.78亿,83.78亿
54,688789,宏华数科,48.93,-0.91,19.11,A股,-0.450,49.73,48.45,0.78,0.83,139.84万,6837.50万,53.06,2.4396,88.20亿,88.20亿
55,600854,春兰股份,4.64,-0.64,19.11,A股,-0.030,4.72,4.58,1.63,0.80,846.72万,3930.84万,410.61,0.9973,24.10亿,24.10亿
56,301035,润丰股份,49.79,-0.34,19.04,A股,-0.170,50.85,49.00,0.45,1.19,162.81万,8077.71万,27.45,2.4685,181.49亿,181.22亿
57,600298,安琪酵母,35.09,1.27,19.03,A股,0.440,35.58,34.22,0.80,0.77,687.92万,2.41亿,17.87,2.5405,304.53亿,300.77亿
58,300641,正丹股份,14.22,0.35,19.03,A股,0.050,14.33,14.03,0.81,0.57,426.29万,6042.17万,27.81,2.2800,74.73亿,74.73亿
59,000887,中鼎股份,21.80,0.14,19.02,A股,0.030,21.89,21.01,4.65,0.77,6113.28万,13.17亿,22.28,1.9853,286.99亿,286.53亿
60,605116,奥锐特,18.41,0.22,18.99,A股,0.040,18.56,18.16,0.65,0.91,262.18万,4804.92万,29.24,2.9185,74.78亿,74.78亿
61,688187,时代电气,57.90,8.86,18.99,A股,4.710,58.19,53.10,2.24,1.26,1948.78万,10.82亿,30.32,1.8090,780.32亿,503.10亿
62,600335,国机汽车,5.28,-0.56,18.99,A股,-0.030,5.38,5.24,0.59,0.93,872.53万,4607.46万,15.58,0.6729,78.54亿,78.54亿
63,600499,科达制造,15.33,4.64,18.99,A股,0.680,15.51,14.53,1.69,1.45,3238.18万,4.84亿,12.53,2.2351,294.01亿,294.01亿
64,600519,贵州茅台,1256.00,-0.55,18.98,A股,-6.980,1263.00,1252.55,0.22,0.76,278.60万,35.01亿,14.41,5.7960,1.57万亿,1.57万亿
65,002978,安宁股份,25.84,1.21,18.98,A股,0.310,26.00,25.33,0.81,0.77,300.71万,7712.33万,19.93,1.3898,121.96亿,95.42亿
66,603317,天味食品,13.28,1.30,18.98,A股,0.170,13.35,13.00,0.87,0.87,927.14万,1.23亿,14.13,3.3860,141.39亿,141.39亿
67,300009,安科生物,7.88,-0.88,18.98,A股,-0.070,7.97,7.83,0.75,0.76,921.34万,7253.02万,19.64,3.0434,131.65亿,96.94亿
68,301665,泰禾股份,21.96,1.06,18.96,A股,0.230,22.08,21.58,1.53,0.75,158.86万,3475.86万,18.43,2.7791,98.82亿,22.88亿
69,600017,日照港,2.70,-1.10,18.94,A股,-0.030,2.74,2.68,0.76,0.73,2342.29万,6315.53万,21.77,0.5956,83.04亿,83.04亿
70,603238,诺邦股份,12.57,0.24,18.92,A股,0.030,12.78,12.38,1.23,0.87,218.71万,2746.70万,17.97,1.5469,22.31亿,22.31亿
71,002558,巨人网络,24.74,-0.52,18.91,A股,-0.130,25.46,24.51,1.83,0.94,3480.06万,8.64亿,10.88,2.9468,470.20亿,470.20亿
72,002033,丽江股份,8.44,-2.20,18.88,A股,-0.190,8.67,8.41,3.16,0.90,1734.59万,1.47亿,17.40,1.9059,46.38亿,46.38亿
73,600425,青松建化,3.59,0.56,18.88,A股,0.020,3.61,3.54,0.71,0.72,1145.79万,4096.55万,-53.84,0.9163,57.61亿,57.61亿
74,000521,长虹美菱,5.48,-0.36,18.88,A股,-0.020,5.55,5.41,1.04,0.72,910.93万,4991.57万,20.09,0.9244,56.44亿,47.96亿
75,300140,节能环境,5.54,-1.07,18.87,A股,-0.060,5.67,5.48,1.32,0.81,1345.07万,7451.50万,13.38,1.2108,171.69亿,56.51亿
76,603418,友升股份,49.31,0.69,18.85,A股,0.340,49.90,48.71,2.59,0.64,107.11万,5280.16万,23.06,2.1307,95.20亿,20.40亿
77,300685,艾德生物,17.20,-4.39,18.85,A股,-0.790,17.85,16.75,4.26,0.78,1658.63万,2.83亿,19.70,3.5614,67.10亿,67.01亿
78,600007,中国国贸,22.38,0.58,18.84,A股,0.130,22.67,21.88,0.39,1.08,390.48万,8716.10万,18.45,2.2424,225.43亿,225.43亿
79,000419,通程控股,4.94,-1.40,18.84,A股,-0.070,5.05,4.89,1.06,0.78,577.52万,2862.03万,23.93,0.7858,26.85亿,26.85亿
80,600738,丽尚国潮,4.12,-0.72,18.84,A股,-0.030,4.20,4.06,1.17,0.94,893.37万,3677.54万,12.77,1.5037,31.37亿,31.34亿
81,300910,瑞丰新材,33.47,3.85,18.82,A股,1.240,33.74,31.67,2.68,1.11,717.85万,2.35亿,22.91,3.6390,128.20亿,89.79亿
82,600284,浦东建设,5.46,0.00,18.80,A股,0.000,5.57,5.39,1.13,0.78,1099.46万,5990.38万,27.62,0.6701,52.98亿,52.98亿
83,002249,大洋电机,8.36,-0.24,18.79,A股,-0.020,8.44,8.17,1.95,0.78,3632.99万,3.00亿,17.24,2.1328,206.14亿,155.66亿
84,688566,吉贝尔,23.70,0.13,18.76,A股,0.030,24.10,23.42,0.35,0.90,69.81万,1656.19万,28.37,1.9058,47.66亿,47.66亿
85,605080,浙江自然,22.15,5.23,18.76,A股,1.100,23.16,21.00,4.05,2.25,568.92万,1.27亿,10.93,1.3775,31.35亿,31.09亿
86,600900,长江电力,27.63,0.44,18.74,A股,0.120,27.70,27.39,0.36,0.80,8825.36万,24.33亿,25.00,2.9664,6760.57亿,6760.57亿
87,300228,富瑞特装,7.77,-0.26,18.73,A股,-0.020,7.88,7.65,2.65,0.68,1480.73万,1.15亿,20.37,1.8809,46.42亿,43.43亿
88,002311,海大集团,44.20,0.16,18.72,A股,0.070,44.85,43.55,0.46,0.82,753.90万,3.33亿,20.49,2.8598,727.26亿,726.72亿
89,000997,新 大 陆,18.12,0.61,18.71,A股,0.110,18.25,17.70,1.71,0.65,1725.08万,3.11亿,16.33,2.4354,183.57亿,182.55亿
90,603393,新天然气,25.36,-3.57,18.71,A股,-0.940,26.23,24.72,3.28,1.69,1389.95万,3.51亿,18.52,1.1412,107.51亿,107.33亿
91,002415,海康威视,30.49,0.63,18.71,A股,0.190,30.83,30.20,0.60,0.85,5426.94万,16.53亿,25.12,3.5286,2794.37亿,2758.25亿
92,002101,广东鸿图,8.75,0.34,18.70,A股,0.030,8.80,8.63,0.92,0.84,611.20万,5317.67万,-205.95,0.7283,58.00亿,57.94亿
93,603112,华翔股份,19.80,4.27,18.70,A股,0.810,20.02,18.65,3.68,1.02,1969.79万,3.85亿,18.20,2.4241,106.91亿,105.85亿
94,605266,健之佳,18.22,1.39,18.70,A股,0.250,18.39,17.90,0.87,0.82,134.34万,2439.76万,19.58,1.1172,28.16亿,28.16亿
95,920020,泰凯英,15.08,-1.63,18.70,A股,-0.250,15.30,15.01,1.33,0.64,74.16万,1119.47万,20.70,2.9711,33.92亿,8.38亿
96,001390,古麒绒材,16.84,1.08,18.69,A股,0.180,16.95,16.55,1.05,0.67,124.74万,2096.56万,21.06,2.0207,33.68亿,20.00亿
97,001206,依依股份,15.80,-0.69,18.65,A股,-0.110,16.06,15.67,1.64,0.72,174.81万,2764.77万,26.38,1.6143,29.21亿,16.88亿
98,603966,法兰泰克,9.12,3.40,18.65,A股,0.300,9.18,8.81,1.71,0.98,889.91万,8025.27万,21.87,2.3494,47.46亿,47.35亿
99,603733,仙鹤股份,27.06,4.12,18.64,A股,1.070,27.70,25.87,2.38,1.29,1686.58万,4.52亿,19.09,2.1858,191.51亿,191.51亿
100,600548,深高速,8.67,0.12,18.64,A股,0.010,8.73,8.58,0.09,0.62,154.36万,1339.41万,10.80,0.9373,220.03亿,148.64亿
101,002603,以岭药业,15.26,1.06,18.62,A股,0.160,15.32,15.02,0.69,0.79,946.40万,1.44亿,15.59,2.4136,254.95亿,210.06亿
102,600529,山东药玻,18.71,-1.89,18.61,A股,-0.360,19.15,18.49,1.61,0.68,1065.32万,1.99亿,15.43,1.4823,124.16亿,124.16亿
103,603086,先达股份,5.85,0.86,18.57,A股,0.050,5.96,5.79,0.85,0.62,370.62万,2173.35万,28.95,1.2231,25.44亿,25.44亿
104,600790,轻纺城,3.84,-0.78,18.55,A股,-0.030,3.91,3.79,0.99,0.83,1454.92万,5561.60万,4.03,0.9462,56.29亿,56.29亿
105,301058,中粮科工,8.44,-0.59,18.53,A股,-0.050,8.57,8.40,0.74,0.86,379.83万,3207.87万,29.09,1.9102,43.24亿,43.24亿
106,920651,天罡股份,23.20,0.56,18.52,A股,0.130,23.70,22.68,1.20,0.82,49.59万,1148.12万,32.37,2.7815,14.15亿,9.62亿
107,603271,永杰新材,42.88,0.05,18.52,A股,0.020,43.82,42.22,1.80,0.81,170.03万,7270.15万,17.80,2.7623,84.96亿,40.55亿
108,300867,圣元环保,20.22,-1.27,18.51,A股,-0.260,21.00,19.72,4.33,0.88,830.32万,1.68亿,12.23,1.3732,54.95亿,38.75亿
109,603181,皇马科技,14.06,5.32,18.51,A股,0.710,14.08,13.40,1.43,1.44,839.77万,1.16亿,18.41,2.3766,82.77亿,82.77亿
110,000906,浙商中拓,5.66,0.18,18.49,A股,0.010,5.72,5.57,1.22,0.85,855.20万,4819.36万,5.37,0.8267,40.17亿,39.69亿
111,002847,盐津铺子,54.26,-5.11,18.47,A股,-2.920,56.85,54.10,1.74,0.91,424.05万,2.33亿,16.03,6.8188,147.97亿,132.31亿
112,000429,粤高速Ａ,14.08,1.59,18.45,A股,0.220,14.10,13.75,0.42,0.88,541.98万,7591.93万,16.29,2.5547,294.39亿,183.51亿
113,601002,晋亿实业,4.96,0.40,18.44,A股,0.020,5.04,4.90,1.34,0.84,1281.01万,6350.23万,16.44,1.0970,47.34亿,47.34亿
114,688819,天能股份,23.63,1.42,18.43,A股,0.330,23.66,23.06,0.23,0.78,222.79万,5208.14万,76.48,1.3832,229.71亿,229.71亿
115,002226,江南化工,5.11,0.00,18.40,A股,0.000,5.13,5.05,0.59,0.79,1556.07万,7909.40万,25.18,1.3954,135.36亿,135.36亿
116,002357,富临运业,10.02,0.91,18.40,A股,0.090,10.15,9.87,1.67,0.57,524.58万,5230.67万,11.98,1.7748,31.41亿,31.41亿
117,605577,龙版传媒,9.88,-0.20,18.40,A股,-0.020,10.03,9.77,0.51,0.66,227.37万,2244.02万,8.90,1.0901,43.91亿,43.91亿
118,000554,泰山石油,6.46,-4.15,18.38,A股,-0.280,6.66,6.39,4.71,1.08,1707.99万,1.10亿,11.54,2.6093,31.06亿,23.43亿
119,600221,海航控股,1.46,1.39,18.38,A股,0.020,1.46,1.42,0.75,0.89,3.21亿,4.63亿,9.14,9.0729,630.95亿,625.54亿
120,002746,仙坛股份,5.58,-1.41,18.38,A股,-0.080,5.67,5.50,1.80,0.96,1275.94万,7092.29万,18.11,1.0671,48.02亿,39.60亿
121,002159,三特索道,13.84,-0.79,18.33,A股,-0.110,14.08,13.72,1.47,0.63,203.92万,2828.77万,29.67,1.7153,24.54亿,19.16亿
122,601816,京沪高铁,5.00,1.42,18.32,A股,0.070,5.02,4.91,0.34,0.95,1.66亿,8.29亿,19.46,1.1627,2446.28亿,2446.28亿
123,300533,冰川网络,15.90,0.13,18.32,A股,0.020,16.36,15.68,3.31,0.95,765.08万,1.22亿,-133.65,4.0555,52.19亿,36.72亿
124,601089,福元医药,16.52,0.06,18.26,A股,0.010,16.70,16.31,0.46,0.86,222.24万,3668.44万,20.78,2.1780,79.30亿,79.30亿
125,603102,百合股份,34.85,-0.29,18.26,A股,-0.100,35.77,34.56,0.77,0.96,48.99万,1720.88万,19.29,1.3255,22.30亿,22.30亿
126,002852,道道全,7.69,0.13,18.25,A股,0.010,7.78,7.59,1.08,0.76,307.59万,2363.09万,46.80,1.1932,26.45亿,21.98亿
127,600787,中储股份,4.54,-1.09,18.21,A股,-0.050,4.63,4.53,0.76,0.90,1646.00万,7512.97万,33.63,0.7045,98.52亿,98.52亿
128,300119,瑞普生物,15.35,-1.22,18.18,A股,-0.190,15.65,15.24,0.85,1.17,282.43万,4338.44万,16.55,1.5411,71.34亿,51.21亿
129,002996,顺博合金,6.27,0.48,18.17,A股,0.030,6.35,6.15,1.88,0.87,784.13万,4879.88万,8.30,1.2969,41.97亿,26.10亿
130,001380,华纬科技,16.94,0.41,18.14,A股,0.070,17.03,16.69,0.44,0.65,118.18万,1991.83万,27.50,2.3336,45.88亿,45.88亿
131,000531,穗恒运Ａ,6.94,2.36,18.13,A股,0.160,6.97,6.58,2.43,0.54,2207.25万,1.50亿,9.34,1.0400,72.27亿,63.14亿
132,002906,华阳集团,27.34,-0.29,18.12,A股,-0.080,27.60,26.80,1.54,0.92,810.30万,2.20亿,21.65,2.0816,143.51亿,143.43亿
133,002262,恩华药业,19.14,-1.34,18.10,A股,-0.260,19.62,19.01,0.84,0.79,743.06万,1.43亿,15.31,2.4400,194.42亿,169.18亿
134,601330,绿色动力,8.08,-0.25,18.09,A股,-0.020,8.20,7.86,1.89,0.52,1873.23万,1.50亿,13.99,1.3970,115.59亿,79.92亿
135,600535,天士力,14.05,0.43,18.08,A股,0.060,14.13,13.88,0.42,0.81,634.69万,8908.67万,14.17,1.6634,209.90亿,209.90亿
136,002083,孚日股份,9.18,0.99,18.05,A股,0.090,9.19,8.99,1.86,0.78,1764.08万,1.60亿,12.04,1.7791,86.90亿,86.90亿
137,002991,甘源食品,42.87,-0.88,18.00,A股,-0.380,43.53,42.30,1.29,0.83,64.55万,2765.97万,15.06,2.3695,39.96亿,21.41亿
138,600388,龙净环保,16.59,1.16,17.99,A股,0.190,16.83,16.45,1.04,0.73,1324.00万,2.20亿,21.57,1.9621,210.70亿,210.70亿
139,002204,大连重工,5.69,0.89,17.95,A股,0.050,5.70,5.59,0.84,0.78,1623.30万,9173.29万,13.18,1.3979,109.89亿,109.89亿
140,600362,江西铜业,41.36,1.20,17.91,A股,0.490,41.48,39.90,2.17,0.60,4507.17万,18.33亿,12.71,1.7027,1432.18亿,858.32亿
141,600352,浙江龙盛,10.84,2.75,17.90,A股,0.290,10.91,10.49,1.32,1.37,4296.98万,4.60亿,16.41,1.0641,352.66亿,352.66亿
142,600750,华润江中,25.62,-1.31,17.90,A股,-0.340,25.95,25.33,0.68,0.95,429.49万,1.10亿,14.13,3.7729,162.84亿,161.11亿
143,605090,九丰能源,35.69,-1.08,17.89,A股,-0.390,36.70,35.51,1.58,0.98,1113.89万,4.00亿,14.50,2.1400,251.94亿,251.45亿
144,601728,中国电信,6.19,-0.32,17.89,A股,-0.020,6.22,6.12,0.17,0.85,1.33亿,8.23亿,19.27,1.2313,5664.29亿,4805.28亿
145,603387,基蛋生物,8.20,0.00,17.87,A股,0.000,8.28,8.11,1.28,0.85,648.42万,5312.32万,13.63,1.4697,41.59亿,41.59亿
146,000423,东阿阿胶,49.08,-0.04,17.87,A股,-0.020,49.25,48.72,0.58,0.63,375.67万,1.84亿,17.37,3.2019,316.06亿,315.51亿
147,001395,亚联机械,36.09,0.56,17.84,A股,0.200,36.60,35.55,1.19,1.12,55.61万,2002.59万,16.74,2.5271,31.48亿,16.92亿
148,002722,物产金轮,12.95,-0.15,17.84,A股,-0.020,13.16,12.86,1.07,0.70,238.35万,3094.19万,17.46,0.9637,28.80亿,28.80亿
149,603227,雪峰科技,8.08,-0.62,17.83,A股,-0.050,8.21,7.97,0.72,0.57,776.47万,6240.73万,47.39,1.7101,86.59亿,86.59亿
150,603588,高能环境,14.20,9.15,17.78,A股,1.190,14.31,12.62,5.74,1.39,8749.10万,11.83亿,8.97,2.1421,216.30亿,216.30亿
151,603676,卫信康,8.85,0.11,17.78,A股,0.010,9.01,8.76,0.28,0.67,122.90万,1092.44万,14.09,2.4938,38.51亿,38.51亿
152,601991,大唐发电,7.71,6.05,17.74,A股,0.440,7.78,6.91,6.01,0.84,7.45亿,54.89亿,12.33,3.8747,1426.87亿,955.74亿
153,601006,大秦铁路,5.10,0.39,17.73,A股,0.020,5.12,5.06,0.32,0.56,6359.75万,3.24亿,10.62,0.6094,1013.01亿,1013.01亿
154,603201,常润股份,18.35,1.66,17.73,A股,0.300,18.35,17.73,1.69,0.59,317.68万,5741.38万,26.42,1.9492,34.86亿,34.56亿
155,002946,新乳业,16.15,-0.31,17.72,A股,-0.050,16.37,15.86,0.61,1.00,522.16万,8382.60万,18.64,3.6358,139.00亿,137.39亿
156,603811,诚意药业,10.48,0.29,17.72,A股,0.030,10.58,10.37,0.77,0.74,252.86万,2639.49万,19.36,2.3643,34.30亿,34.30亿
157,920159,农大科技,33.21,-3.12,17.71,A股,-1.070,34.24,33.01,6.87,1.01,98.96万,3299.69万,14.07,2.4028,25.24亿,4.78亿
158,000425,徐工机械,9.96,0.30,17.70,A股,0.030,9.99,9.61,1.49,1.01,1.34亿,13.13亿,14.18,1.8615,1166.44亿,896.46亿
159,605377,华旺科技,8.10,-1.94,17.66,A股,-0.160,8.29,7.99,1.04,1.29,576.56万,4671.05万,17.32,1.1698,45.09亿,45.09亿
160,000729,燕京啤酒,11.14,-2.79,17.65,A股,-0.320,11.59,10.94,2.05,1.42,5155.99万,5.75亿,29.65,1.9941,313.99亿,279.57亿
161,603195,公牛集团,40.50,1.86,17.63,A股,0.740,40.88,39.55,0.28,0.83,495.25万,1.99亿,17.30,5.0914,732.20亿,729.27亿
162,300908,仲景食品,23.79,0.17,17.62,A股,0.040,24.24,23.36,1.15,1.00,141.32万,3369.55万,16.17,2.0360,34.73亿,29.36亿
163,002216,三全食品,12.13,0.25,17.61,A股,0.030,12.30,11.98,0.91,0.63,572.13万,6936.88万,9.90,2.4386,106.65亿,76.48亿
164,600486,扬农化工,54.80,-3.52,17.60,A股,-2.000,57.33,54.20,2.36,1.92,952.26万,5.23亿,13.60,1.8661,221.45亿,221.39亿
165,002545,东方铁塔,19.84,-0.60,17.60,A股,-0.120,20.16,19.36,1.37,0.86,1546.12万,3.04亿,15.35,2.4161,246.82亿,224.22亿
166,002690,美亚光电,14.48,-1.09,17.58,A股,-0.160,14.76,14.35,1.47,1.11,639.12万,9260.27万,27.54,5.3042,127.75亿,62.81亿
167,600909,华安证券,7.05,0.28,17.56,A股,0.020,7.15,6.88,2.35,0.69,1.18亿,8.27亿,20.43,1.3427,354.21亿,354.21亿
168,600817,宇通重工,9.92,2.27,17.53,A股,0.220,9.97,9.69,0.50,0.98,262.77万,2593.32万,29.71,2.2052,53.02亿,52.50亿
169,689009,九号公司-WD,36.08,-2.35,17.53,A股,-0.870,37.00,35.64,1.86,0.93,1038.71万,3.74亿,32.43,3.4694,263.83亿,201.89亿
170,300470,中密控股,30.13,-1.79,17.52,A股,-0.550,30.86,29.97,1.06,1.17,208.31万,6300.19万,23.54,2.1847,62.66亿,59.40亿
171,603170,宝立食品,11.82,-0.59,17.52,A股,-0.070,11.98,11.75,0.30,0.54,121.51万,1440.20万,18.02,3.3114,47.28亿,47.28亿
172,600575,XD淮河能,3.80,1.06,17.51,A股,0.040,3.84,3.67,1.93,0.52,7507.93万,2.82亿,21.03,1.2999,272.34亿,147.68亿
173,600361,创新新材,3.96,-1.74,17.49,A股,-0.070,4.06,3.89,1.88,0.83,7007.09万,2.77亿,13.87,1.2963,147.81亿,147.81亿
