序号,代码,名称,最新价(元) 2026.06.09,涨跌幅(%) 2026.06.09,市盈率(TTM)(倍) 2026.06.09,证券类型,涨跌额(元) 2026.06.09,最高价(元) 2026.06.09,最低价(元) 2026.06.09,换手率(%) 2026.06.09,量比 2026.06.09,成交量(股) 2026.06.09,成交额(元) 2026.06.09,市盈率(动)(倍) 2026.06.09,市净率(倍) 2026.06.09,总市值(元) 2026.06.09,流通市值(元) 2026.06.09
711,601939,建设银行,10.36,0.29,7.93,A股,0.030,10.47,10.20,1.26,1.17,1.21亿,12.58亿,7.85,0.7640,2.71万亿,993.90亿
712,600820,隧道股份,5.47,0.55,7.89,A股,0.030,5.52,5.41,0.47,0.76,1469.51万,8026.54万,14.47,0.5351,171.98亿,171.98亿
713,688330,宏力达,35.50,3.56,7.88,A股,1.220,35.51,34.32,1.28,1.19,178.61万,6284.87万,87.57,1.1318,49.70亿,49.70亿
714,601288,农业银行,6.60,0.46,7.85,A股,0.030,6.71,6.48,0.15,1.50,4.80亿,31.74亿,7.68,0.8306,2.31万亿,2.11万亿
715,601717,中创智领,17.71,1.37,7.72,A股,0.240,17.73,17.35,0.84,0.78,1288.50万,2.26亿,8.86,1.2622,316.19亿,273.12亿
716,601860,XD紫金银,2.61,1.16,7.64,A股,0.030,2.63,2.57,1.33,1.20,4735.73万,1.23亿,5.57,0.4716,95.55亿,92.70亿
717,601963,重庆银行,12.21,0.16,7.60,A股,0.020,12.28,11.78,0.69,1.04,1394.72万,1.69亿,6.17,0.7570,442.70亿,248.36亿
718,002758,浙农股份,7.84,-1.75,7.52,A股,-0.140,8.06,7.75,1.36,1.40,705.06万,5548.06万,18.78,0.7827,40.67亿,40.63亿
719,601800,中国交建,6.15,0.49,7.48,A股,0.030,6.17,6.06,0.30,0.77,3532.07万,2.16亿,6.10,0.3437,1000.89亿,724.70亿
720,601318,中国平安,53.93,1.03,7.35,A股,0.550,54.05,53.15,0.67,0.97,7100.30万,38.11亿,9.76,0.9898,9765.45亿,5748.97亿
